psa_geolocation_name,adm1_pcode,short_label
National Capital Region (NCR),PH130000000,NCR
Cordillera Administrative Region (CAR),PH140000000,CAR
Region I (Ilocos Region),PH010000000,Region I
Region II (Cagayan Valley),PH020000000,Region II
Region III (Central Luzon),PH030000000,Region III
Region IV-A (CALABARZON),PH040000000,Region IV-A
MIMAROPA Region,PH170000000,MIMAROPA
Region V (Bicol Region),PH050000000,Region V
Region VI (Western Visayas),PH060000000,Region VI
Region VII (Central Visayas),PH070000000,Region VII
Region VIII (Eastern Visayas),PH080000000,Region VIII
Region IX (Zamboanga Peninsula),PH090000000,Region IX
Region X (Northern Mindanao),PH100000000,Region X
Region XI (Davao Region),PH110000000,Region XI
Region XII (SOCCSKSARGEN),PH120000000,Region XII
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),PH150000000,BARMM
Region XIII (Caraga),PH160000000,Region XIII
Negros Island Region (NIR),PH180000000,NIR
